n      Norme

5      4.425645e-07
15     5.722046e-07
25     2.782717e-06
35     4.327936e-06
45     9.670010e-06
55     1.745241e-05
65     1.588897e-05
75     2.923660e-05
85     4.443053e-05
95     4.123896e-05
105    5.613527e-05
115    6.718601e-05
125    6.864898e-05
135    8.891643e-05
145    1.007541e-04
